Nome da Empresa,Segmento da Empresa,score,b3,top,source
ABC Brasil,Financeiro,5,True,False,company_seeds_data
Aeris,Indústria,5,True,False,company_seeds_data
Aeris Ind. E Com. De Equip. Geracao De Energia S/A,Indústria,5,True,False,brapi_quote_list
Afluente Transmissão De Energia Elétrica S/A,Energia e Utilities,5,True,False,brapi_quote_list
Agrogalaxy Participações,Varejo e Consumo,5,True,False,brapi_quote_list
Alfa Financeira,Financeiro,5,True,False,company_seeds_data
Alfa Holdings,Financeiro,5,True,False,brapi_quote_list
Alliança Saúde E Participações,Saúde,5,True,False,brapi_quote_list
Allied Tecnologia,Tecnologia,5,True,False,brapi_quote_list
Allpark Empreendimentos Participacoes Servicos,Varejo e Consumo,5,True,False,brapi_quote_list
Alphaville,Financeiro,5,True,False,brapi_quote_list
Alupar Investimento S/A,Energia e Utilities,5,True,False,brapi_quote_list
Ambipar Participacoes E Empreendimentos S/A,Serviços e Outros,5,True,False,brapi_quote_list
Americanas,Varejo e Consumo,5,True,False,brapi_quote_list
Ampla Energia E Servicos,Energia e Utilities,5,True,False,brapi_quote_list
Anima,Educação,5,True,False,company_seeds_data
Arezzo,Varejo e Consumo,5,True,False,company_seeds_data
Armac Locação. Logística E Serviços,Financeiro,5,True,False,brapi_quote_list
Arnd3,Serviços e Outros,5,True,False,brapi_quote_list
Arnd3F,Serviços e Outros,5,True,False,brapi_quote_list
Asa,Financeiro,5,True,False,company_seeds_data
Assaí,Varejo e Consumo,5,True,False,company_seeds_data
Atom Educação E Editora,Tecnologia,5,True,False,brapi_quote_list
Auren,Energia e Utilities,5,True,False,company_seeds_data
Automob Participações,Varejo e Consumo,5,True,False,brapi_quote_list
Axia3,Energia e Utilities,5,True,False,brapi_quote_list
Axia3F,Energia e Utilities,5,True,False,brapi_quote_list
Axia5,Energia e Utilities,5,True,False,brapi_quote_list
Axia6,Energia e Utilities,5,True,False,brapi_quote_list
Axia6F,Energia e Utilities,5,True,False,brapi_quote_list
Axia7,Energia e Utilities,5,True,False,brapi_quote_list
Axia7F,Energia e Utilities,5,True,False,brapi_quote_list
Azevedo & Travassos Energia,Energia e Utilities,5,True,False,brapi_quote_list
Azevedo E Travassos,Indústria,5,True,False,brapi_quote_list
Azzas 2154,Varejo e Consumo,5,True,False,brapi_quote_list
B100,Financeiro,5,True,False,brapi_quote_list
