Empresa,Acao,URL,Detalhe
Azul Linhas Aéreas,removed_duplicate,https://azul.gupy.io,https://voeazul.gupy.io
Banco Safra,removed_duplicate,https://safra.gupy.io,https://venhasersafra.gupy.io
C&A Brasil,removed_duplicate,https://ceabrasil.gupy.io,https://cea.gupy.io
Itaú Unibanco,removed_duplicate,https://itau.gupy.io,https://vemproitau.gupy.io
99 (99Entrega),fixed,https://carreiras.gupy.io/99,https://99app.com/carreiras
AES Brasil,fixed,https://carreiras.gupy.io/aesbrasil,https://aes.wd1.myworkdayjobs.com/Careers
Aevo,fixed,https://carreiras.gupy.io/aevo,https://aevo.gupy.io
AgroGalaxy,fixed,https://carreiras.gupy.io/agrogalaxy,https://agrogalaxy.gupy.io
Aiqfome,fixed,https://carreiras.gupy.io/aiqfome,https://aiqfome.gupy.io
Alliar,fixed,https://carreiras.gupy.io/alliar,https://alliar.gupy.io
Ambipar,fixed,https://carreiras.gupy.io/ambipar,https://ambipar.gupy.io
Analytics-ss,fixed,https://carreiras.gupy.io/analyticsss,https://analytics-ss.inhire.com.br
Apptite,fixed,https://carreiras.gupy.io/apptite,https://apptite.gupy.io
Aztec,fixed,https://carreiras.gupy.io/aztec,https://job-boards.eu.greenhouse.io/aztec
B3,fixed,https://carreiras.gupy.io/b3,https://b3.gupy.io
Bahema Educação,fixed,https://carreiras.gupy.io/bahemaeducao,https://bahemaeducacao.com.br/trabalhe-conosco
Banco ABC Brasil,fixed,https://carreiras.gupy.io/bancoabcbrasil,https://bancoabc.gupy.io
Banco do Nordeste,fixed,https://carreiras.gupy.io/bancodonordeste,https://www.bnb.gov.br/concursos-e-selecoes
Banco Inbursa,fixed,https://carreiras.gupy.io/bancoinbursa,https://www.inbursa.com/BolsadeTrabajo
Banco Mercantil do Brasil,fixed,https://carreiras.gupy.io/bancomercantildobrasil,https://bancomercantil.gupy.io
Banco Paulista,fixed,https://carreiras.gupy.io/bancopaulista,https://bancopaulista.solides.jobs
Banco Rendimento,fixed,https://carreiras.gupy.io/bancorendimento,https://rendimento.gupy.io
Banco Semear,fixed,https://carreiras.gupy.io/bancosemear,https://www.bancosemear.com.br/trabalhe-conosco
Banco Votorantim (banco BV),fixed,https://carreiras.gupy.io/bancovotorantimbancobv,https://bv.gupy.io
Banestes,fixed,https://carreiras.gupy.io/banestes,https://www.banestes.com.br/trabalhe-conosco
Biolab,fixed,https://carreiras.gupy.io/biolab,https://biolabfarma.gupy.io
BizCapital,fixed,https://carreiras.gupy.io/bizcapital,https://bizcapital.gupy.io
Blau Farmacêutica,fixed,https://carreiras.gupy.io/blaufarmacutica,https://blau.com.br/carreiras
Blizzard,fixed,https://carreiras.gupy.io/blizzard,https://activision.wd1.myworkdayjobs.com/Blizzard_External_Careers
BNY Mellon,fixed,https://carreiras.gupy.io/bnymellon,https://bnymellon.eightfold.ai/careers
Bold Snacks,fixed,https://carreiras.gupy.io/boldsnacks,https://bold.net/trabalhe-conosco
Bom pra Crédito,fixed,https://carreiras.gupy.io/bompracrdito,https://bompracredito.gupy.io
Box Delivery,fixed,https://carreiras.gupy.io/boxdelivery,https://boxdelivery.gupy.io
BRF,fixed,https://carreiras.gupy.io/brf,https://brf.com/talentos
Brinks Brasil,fixed,https://carreiras.gupy.io/brinksbrasil,https://brinks.gupy.io
Caesb,fixed,https://carreiras.gupy.io/caesb,https://www.caesb.df.gov.br/concursos.html
Cagece,fixed,https://carreiras.gupy.io/cagece,https://www.cagece.com.br/institucional/concursos-e-selecoes
Caixa Econômica Federal,fixed,https://carreiras.gupy.io/caixaeconmicafederal,https://www.caixa.gov.br/sobre-a-caixa/trabalhe-na-caixa/concursos
Caixa Seguridade,fixed,https://carreiras.gupy.io/caixaseguridade,https://caixaseguridade.gupy.io
Camargo Corrêa,fixed,https://carreiras.gupy.io/camargocorra,https://camargocorrea.gupy.io
Capgemini,fixed,https://carreiras.gupy.io/capgemini,https://www.capgemini.com/br-pt/carreiras
Carrefour Brasil,fixed,https://carreiras.gupy.io/carrefour,https://carrefour.gupy.io
Ceg (Naturgy),fixed,https://carreiras.gupy.io/cegnaturgy,https://www.naturgy.com.br/trabalhe-conosco
Celesc,fixed,https://carreiras.gupy.io/celesc,https://www.celesc.com.br/trabalhe-na-celesc
Cheftime,fixed,https://carreiras.gupy.io/cheftime,https://cheftime.gupy.io
Click Entregas,fixed,https://carreiras.gupy.io/clickentregas,https://clickentregas.com/trabalhe-conosco
Comercial Zaffari,fixed,https://carreiras.gupy.io/comercialzaffari,https://czaffari.gupy.io
Copel,fixed,https://carreiras.gupy.io/copel,https://www.copel.com/site/trabalhe-na-copel
CPFL Energia,fixed,https://carreiras.gupy.io/cpfl,https://cpflenergia.gupy.io
Daki,fixed,https://carreiras.gupy.io/daki,https://daki.gupy.io
Danone,fixed,https://carreiras.gupy.io/danone,https://ptapply-danone.icims.com/jobs/search
Desktop,fixed,https://carreiras.gupy.io/desktop,https://desktop.gupy.io
DiDi (99),fixed,https://carreiras.gupy.io/99,https://careers-didiglobal.icims.com/jobs/search?ss=1&hashed=-625919479
Diferente,fixed,https://carreiras.gupy.io/diferente,https://diferente.com.br/trabalhe-conosco
Direcional,fixed,https://carreiras.gupy.io/direcional,https://direcional.gupy.io
Eleva Educação,fixed,https://carreiras.gupy.io/elevaeducao,https://escolaseleva.gupy.io
Embaré,fixed,https://carreiras.gupy.io/embar,https://embare.com.br/trabalhe-conosco
Embasa,fixed,https://carreiras.gupy.io/embasa,https://www.embasa.ba.gov.br/institucional/concursos
Eneva,fixed,https://carreiras.gupy.io/eneva,https://eneva.gupy.io
Enjoei,fixed,https://carreiras.gupy.io/enjoei,https://enjoei.gupy.io
Eternit,fixed,https://carreiras.gupy.io/eternit,https://eternit.gupy.io
Even,fixed,https://carreiras.gupy.io/even,https://even.gupy.io
