Nome da Empresa,Segmento da Empresa,motivo
Alfa Financeira,Financeiro,no_url_strong_verify
Agrogalaxy Participações,Varejo e Consumo,no_url_strong_verify
Afluente Transmissão De Energia Elétrica S/A,Energia e Utilities,no_url_strong_verify
Allied Tecnologia,Tecnologia,no_url_strong_verify
Alfa Holdings,Financeiro,no_url_strong_verify
Asa,Financeiro,no_url_strong_verify
Arezzo,Varejo e Consumo,no_url_strong_verify
Ampla Energia E Servicos,Energia e Utilities,no_url_strong_verify
Arnd3,Serviços e Outros,no_url_strong_verify
Alliança Saúde E Participações,Saúde,no_url_strong_verify
Atom Educação E Editora,Tecnologia,no_url_strong_verify
Ambipar Participacoes E Empreendimentos S/A,Serviços e Outros,no_url_strong_verify
Allpark Empreendimentos Participacoes Servicos,Varejo e Consumo,no_url_strong_verify
Arnd3F,Serviços e Outros,no_url_strong_verify
Axia3F,Energia e Utilities,no_url_strong_verify
Axia5,Energia e Utilities,no_url_strong_verify
Axia6,Energia e Utilities,no_url_strong_verify
Auren,Energia e Utilities,no_url_strong_verify
Axia6F,Energia e Utilities,no_url_strong_verify
Axia7,Energia e Utilities,no_url_strong_verify
Axia7F,Energia e Utilities,no_url_strong_verify
BRB,Financeiro,no_url_strong_verify
Azevedo & Travassos Energia,Energia e Utilities,no_url_strong_verify
B100,Financeiro,no_url_strong_verify
BANESTES S.A. -Banco EST ESPIRITO SANTO,Financeiro,no_url_strong_verify
Assaí,Varejo e Consumo,no_url_strong_verify
BRBBanco DE BRASILIA,Financeiro,no_url_strong_verify
Axia3,Energia e Utilities,no_url_strong_verify
Azevedo E Travassos,Indústria,no_url_strong_verify
Bardella S.A. Industrias Mecanicas,Indústria,no_url_strong_verify
Biomm,Saúde,no_url_strong_verify
Baumer,Saúde,no_url_strong_verify
Belora Rdvc City Desenvolvimento Imobiliário,Varejo e Consumo,no_url_strong_verify
Boa Safra Sementes,Indústria,no_url_strong_verify
Bb Seguridade Participações,Financeiro,no_url_strong_verify
Bradespar,Financeiro,no_url_strong_verify
Bicicletas Monark,Varejo e Consumo,no_url_strong_verify
Bioma Educação,Varejo e Consumo,no_url_strong_verify
Brbi Br Partners,Financeiro,no_url_strong_verify
CVC BRASIL OPERADORA E AGÊNCompanhia DE VIAGENS,Varejo e Consumo,no_url_strong_verify
Cea Modas,Varejo e Consumo,no_url_strong_verify
Cambuci,Varejo e Consumo,no_url_strong_verify
Cm Hospitalar,Varejo e Consumo,no_url_strong_verify
Centrais Elet De Santa Catarina,Energia e Utilities,no_url_strong_verify
Caixa Seguridade Participações,Financeiro,no_url_strong_verify
Companhia Brasileira De Alumínio,Indústria,no_url_strong_verify
Companhia Brasileira de Distribuição,Varejo e Consumo,no_url_strong_verify
Companhia ELETRICIDADE EST. DA BAHIA - COELBA,Energia e Utilities,no_url_strong_verify
Companhia DISTRIB DE GAS DO RIO DE JANEIRO-CEG,Energia e Utilities,no_url_strong_verify
Companhia ENERGETICA DE MINAS GERAIS - CEMIG,Energia e Utilities,no_url_strong_verify
Companhia ENERGETICA DE BRASILIA,Energia e Utilities,no_url_strong_verify
Companhia ENERGETICA DO CEARA - COELCE,Energia e Utilities,no_url_strong_verify
Companhia HABITASUL DE PARTICIPACOES,Financeiro,no_url_strong_verify
Companhia FIACAO TECIDOS CEDRO CACHOEIRA,Indústria,no_url_strong_verify
Companhia PARTICIPACOES ALIANCA DA BAHIA,Financeiro,no_url_strong_verify
Companhia PARANAENSE DE ENERGIA - COPEL,Energia e Utilities,no_url_strong_verify
Companhia SANEAMENTO BASICO EST SAO PAULO,Energia e Utilities,no_url_strong_verify
Companhia GAS DE SAO PAULO - COMGAS,Energia e Utilities,no_url_strong_verify
Companhia SANEAMENTO DE MINAS GERAIS-COPASA MG,Energia e Utilities,no_url_strong_verify
Companhia SANEAMENTO DO PARANA - SANEPAR,Energia e Utilities,no_url_strong_verify
Companhia FERRO LIGAS DA BAHIA - FERBA,Indústria,no_url_strong_verify
Csu Digital,Serviços e Outros,no_url_strong_verify
Construtora Adolpho Lindenberg,Indústria,no_url_strong_verify
Construtora Tenda,Financeiro,no_url_strong_verify
Csn Mineração,Indústria,no_url_strong_verify
Ctax3,Serviços e Outros,no_url_strong_verify
Companhia SIDERURGICA NACIONAL,Indústria,no_url_strong_verify
Companhia TECIDOS SANTANENSE,Indústria,no_url_strong_verify
Ctax3F,Serviços e Outros,no_url_strong_verify
Cury Construtora E Incorporadora,Financeiro,no_url_strong_verify
Dohler,Indústria,no_url_strong_verify
Dvff11,Serviços e Outros,no_url_strong_verify
Dexxos Participacoes,Indústria,no_url_strong_verify
Diagnosticos da América,Saúde,no_url_strong_verify
Dimed S.A. Distribuidora De Medicamentos,Varejo e Consumo,no_url_strong_verify
Dtcom - Direct To Company,Energia e Utilities,no_url_strong_verify
Electro Aco Altona,Indústria,no_url_strong_verify
D1000 Varejo Farma Participações,Varejo e Consumo,no_url_strong_verify
Elektro Redes,Energia e Utilities,no_url_strong_verify
Embj3F,Tecnologia,no_url_strong_verify
Embj3,Tecnologia,no_url_strong_verify
Emae - Empresa Metrop.Aguas Energia,Energia e Utilities,no_url_strong_verify
Energisa,Energia e Utilities,no_url_strong_verify
Embpar Participacoes,Indústria,no_url_strong_verify
Energisa Mato Grosso-Distribuidora De Energia S/A,Energia e Utilities,no_url_strong_verify
Equatorial Maranhão Distribuidora De Energia,Energia e Utilities,no_url_strong_verify
Even Construtora E Incorporadora,Financeiro,no_url_strong_verify
Equatorial Para Distribuidora De Energia,Energia e Utilities,no_url_strong_verify
Eucatex S.A. Industria E Comercio,Indústria,no_url_strong_verify
Ez Tec Empreend. E Participacoes,Financeiro,no_url_strong_verify
GOL,Logística e Mobilidade,no_url_strong_verify
Fictor Alimentos,Serviços e Outros,no_url_strong_verify
Fertilizantes Heringer,Indústria,no_url_strong_verify
Frasle Mobility,Indústria,no_url_strong_verify
Fspe11,Financeiro,no_url_strong_verify
Excelsior Alimentos,Varejo e Consumo,no_url_strong_verify
Fsrf11,Serviços e Outros,no_url_strong_verify
Fsrf11F,Serviços e Outros,no_url_strong_verify
Fstu11F,Financeiro,no_url_strong_verify
Grazziotin,Varejo e Consumo,no_url_strong_verify
Gps Participacoes E Empreendimentos,Serviços e Outros,no_url_strong_verify
General Shopping E Outlets Do Brasil,Financeiro,no_url_strong_verify
Haga S.A. Industria E Comercio,Varejo e Consumo,no_url_strong_verify
Fspe11F,Financeiro,no_url_strong_verify
Grupo SBF,Varejo e Consumo,no_url_strong_verify
Hbr Realty Empreendimentos Imobiliarios S/A,Financeiro,no_url_strong_verify
Grupo Multi,Tecnologia,no_url_strong_verify
Hapvida,Saúde,no_url_strong_verify
Hapvida Participacoes E Investimentos,Saúde,no_url_strong_verify
Irb,Financeiro,no_url_strong_verify
Hypera,Saúde,no_url_strong_verify
Hercules S.A. Fabrica De Talheres,Varejo e Consumo,no_url_strong_verify
Hospital Mater Dei S/A,Saúde,no_url_strong_verify
Hoteis Othon,Varejo e Consumo,no_url_strong_verify
Infracommerce Cxaas,Varejo e Consumo,no_url_strong_verify
Inepar S.A. Industria E Construcoes,Indústria,no_url_strong_verify
Intelbras S.A. Ind De Telec Eletronica Brasileira,Tecnologia,no_url_strong_verify
International Meal Company Alimentacao,Varejo e Consumo,no_url_strong_verify
Iochpe Maxion,Indústria,no_url_strong_verify
Isnn11,Serviços e Outros,no_url_strong_verify
Itaú Unibanco,Financeiro,no_url_strong_verify
Joao Fortes Engenharia,Varejo e Consumo,no_url_strong_verify
Jhsf Participacoes,Financeiro,no_url_strong_verify
Jalles Machado,Indústria,no_url_strong_verify
Kivo11,Serviços e Outros,no_url_strong_verify
Josapar-Joaquim Oliveira S.A. - Particip,Indústria,no_url_strong_verify
Log-In Logistica Intermodal,Logística e Mobilidade,no_url_strong_verify
Lavvi Empreendimentos Imobiliários,Financeiro,no_url_strong_verify
Lupatech,Indústria,no_url_strong_verify
Lojas Americanas,Varejo e Consumo,no_url_strong_verify
Mangels Industrial,Indústria,no_url_strong_verify
Mahle-Metal Leve,Indústria,no_url_strong_verify
Mbrf3F,Varejo e Consumo,no_url_strong_verify
Marisa Lojas,Varejo e Consumo,no_url_strong_verify
M.Dias Branco S.A. Ind Com De Alimentos,Varejo e Consumo,no_url_strong_verify
Manufatura De Brinquedos Estrela,Varejo e Consumo,no_url_strong_verify
Melnick Desenvolvimento Imobiliário,Indústria,no_url_strong_verify
Metalfrio Solutions,Indústria,no_url_strong_verify
MRV&Co,Varejo e Consumo,no_url_strong_verify
Mbrf3,Varejo e Consumo,no_url_strong_verify
Metalúrgica Gerdau,Indústria,no_url_strong_verify
Metalurgica Riosulense,Indústria,no_url_strong_verify
Metisa Metalurgica Timboense,Indústria,no_url_strong_verify
Minupar Participacoes,Indústria,no_url_strong_verify
Multilaser,Varejo e Consumo,no_url_strong_verify
Mpm Corpóreos,Varejo e Consumo,no_url_strong_verify
Mitre Realty Empreendimentos E Participações,Financeiro,no_url_strong_verify
Mrv Engenharia E Participacoes,Varejo e Consumo,no_url_strong_verify
Moura Dubeux Engenharia S/A,Financeiro,no_url_strong_verify
Nexa,Indústria,no_url_strong_verify
Multiplan - Empreend Imobiliarios,Financeiro,no_url_strong_verify
Natura Cosmeticos,Varejo e Consumo,no_url_strong_verify
Neogrid Participacoes,Tecnologia,no_url_strong_verify
Nexpe Participações,Financeiro,no_url_strong_verify
Nordon Industrias Metalurgicas,Indústria,no_url_strong_verify
Nutriplant Industria E Comercio,Indústria,no_url_strong_verify
NotreDame Intermédica,Saúde,no_url_strong_verify
Oceanpact Servicos Maritimos,Serviços e Outros,no_url_strong_verify
Oncoclinicas Do Brasil Servicos Medicos,Saúde,no_url_strong_verify
Oranjebtc S.A. - Educação E Investimento,Tecnologia,no_url_strong_verify
Osx Brasil,Indústria,no_url_strong_verify
Panatlantica,Indústria,no_url_strong_verify
Paranapanema,Indústria,no_url_strong_verify
Pbg S/A,Indústria,no_url_strong_verify
Pdg Realty S.A. Empreend E Participacoes,Financeiro,no_url_strong_verify
Petrorecôncavo,Energia e Utilities,no_url_strong_verify
Petroleo Brasileiro S.A. Petrobras,Energia e Utilities,no_url_strong_verify
Pettenati S.A. Industria Textil,Indústria,no_url_strong_verify
Plascar Participacoes Industriais,Indústria,no_url_strong_verify
Plano & Plano Desenvolvimento Imobiliário,Financeiro,no_url_strong_verify
Ppla Participations Ltd.,Financeiro,no_url_strong_verify
Raia Drogasil,Varejo e Consumo,no_url_strong_verify
Recrusul,Indústria,no_url_strong_verify
Rede Energia Participações,Energia e Utilities,no_url_strong_verify
Profarma Distrib Prod Farmaceuticos,Varejo e Consumo,no_url_strong_verify
Renv11,Financeiro,no_url_strong_verify
Revee,Serviços e Outros,no_url_strong_verify
Refinaria De Petroleos Manguinhos,Energia e Utilities,no_url_strong_verify
Riaa3,Varejo e Consumo,no_url_strong_verify
Riaa3F,Varejo e Consumo,no_url_strong_verify
Renova Energia,Energia e Utilities,no_url_strong_verify
Rio Paranapanema Energia,Energia e Utilities,no_url_strong_verify
Sao Carlos Empreend E Participacoes,Financeiro,no_url_strong_verify
Saud3,Saúde,no_url_strong_verify
Sansuy S.A. Industria De Plasticos,Indústria,no_url_strong_verify
Saud3F,Saúde,no_url_strong_verify
Sequoia Logistica E Transportes,Logística e Mobilidade,no_url_strong_verify
Sendas Distribuidora,Varejo e Consumo,no_url_strong_verify
Priner Serviços Industriais,Indústria,no_url_strong_verify
Sendas,Varejo e Consumo,no_url_strong_verify
Sicoob,Financeiro,no_url_strong_verify
Snci11,Financeiro,no_url_strong_verify
Smartfit Escola De Ginástica E Dança,Varejo e Consumo,no_url_strong_verify
T4F Entretenimento,Varejo e Consumo,no_url_strong_verify
Sondotecnica Engenharia Solos,Indústria,no_url_strong_verify
Technos,Varejo e Consumo,no_url_strong_verify
Syn Prop E Tech,Financeiro,no_url_strong_verify
Taurus Armas,Tecnologia,no_url_strong_verify
Telec Brasileiras S.A. Telebras,Energia e Utilities,no_url_strong_verify
Toky3,Tecnologia,no_url_strong_verify
Toky3F,Tecnologia,no_url_strong_verify
Textil Renauxview,Indústria,no_url_strong_verify
Telefônica Brasil,Mídia e Entretenimento,no_url_strong_verify
Tpi - Triunfo Particip. E Invest.,Logística e Mobilidade,no_url_strong_verify
Track & Field Co,Varejo e Consumo,no_url_strong_verify
Transmissora Aliança De Energia Elétrica,Indústria,no_url_strong_verify
Três Tentos Agroindustrial S/A,Serviços e Outros,no_url_strong_verify
Tronox Pigmentos Do Brasil,Indústria,no_url_strong_verify
Trevisa Investimentos,Logística e Mobilidade,no_url_strong_verify
Ultrapar Participacoes,Varejo e Consumo,no_url_strong_verify
Unicasa Indústria De Móveis,Varejo e Consumo,no_url_strong_verify
Via,Varejo e Consumo,no_url_strong_verify
União Pet Participações,Indústria,no_url_strong_verify
Unifique Telecomunicações,Energia e Utilities,no_url_strong_verify
Transmissão Paulista,Energia e Utilities,no_url_strong_verify
Vgir11,Serviços e Outros,no_url_strong_verify
Usinas Sid De Minas Gerais S.A.-Usiminas,Indústria,no_url_strong_verify
Wdcn3,Varejo e Consumo,no_url_strong_verify
Vittia,Indústria,no_url_strong_verify
Wdcn3F,Varejo e Consumo,no_url_strong_verify
Vitru Educação,Serviços e Outros,no_url_strong_verify
Westwing Comercio Varejista,Varejo e Consumo,no_url_strong_verify
Veste S.A. Estilo,Varejo e Consumo,no_url_strong_verify
Whirlpool,Varejo e Consumo,no_url_strong_verify
BRQ,Tecnologia,no_url_strong_verify
Wetzel,Indústria,no_url_strong_verify
Wiz Co Participações E Corretagem De Seguros,Financeiro,no_url_strong_verify
Viver Incorporadora E Construtora,Varejo e Consumo,no_url_strong_verify
Wlm Part. E Comércio De Máquinas E Veículos,Varejo e Consumo,no_url_strong_verify
Bernoulli,Educação,no_url_strong_verify
Yara Brasil,Indústria,no_url_strong_verify
CPTM,Serviços e Outros,no_url_strong_verify
CCR Rio,Serviços e Outros,no_url_strong_verify
Brookfield Brasil,Construção e Imóveis,no_url_strong_verify
Chubb,Financeiro,no_url_strong_verify
Comgás,Energia e Utilities,no_url_strong_verify
DHL Brasil,Logística e Mobilidade,no_url_strong_verify
Enel Brasil,Energia e Utilities,no_url_strong_verify
BrMalls,Varejo e Consumo,no_url_strong_verify
Cooperativa Santa Clara,Varejo e Consumo,no_url_strong_verify
Coca-Cola Brasil,Agro e Alimentos,no_url_strong_verify
MetLife,Financeiro,no_url_strong_verify
Grupo São Francisco,Saúde,no_url_strong_verify
Estácio,Educação,no_url_strong_verify
Kroton,Educação,no_url_strong_verify
Infraero,Serviços e Outros,no_url_strong_verify
VLI,Serviços e Outros,no_url_strong_verify
Grupo Pão de Açúcar,Varejo e Consumo,no_url_strong_verify
O Boticário,Varejo e Consumo,no_url_strong_verify
Mongeral Aegon,Financeiro,no_url_strong_verify
WEG Equipamentos,Indústria,no_url_strong_verify
Metrô São Paulo,Serviços e Outros,no_url_strong_verify
Zurich Brasil,Financeiro,no_url_strong_verify
PwC Brasil,Serviços e Outros,no_url_strong_verify
