Nome da Empresa,URL_antiga,URL_nova,Status_antigo,Status_novo,Acao,Erro
Arezzo&Co,https://azzas2154.gupy.io,https://azzas2154.gupy.io,1,1,verified,
AuroraCoop (Aurora Alimentos),https://auroracoop.gupy.io,https://auroracoop.gupy.io,1,1,verified,
Unifique,https://vemserunifique.gupy.io,https://vemserunifique.gupy.io,1,1,verified,
BB Seguridade,https://brasilseg.gupy.io,https://brasilseg.gupy.io,1,1,verified,
Unimed (Sistema Nacional),https://unimednacional.gupy.io,https://unimednacional.gupy.io,1,1,verified,
O Estado de S. Paulo,https://estadao.gupy.io,https://estadao.gupy.io,1,1,verified,
Ame Digital,https://ame.gupy.io,https://ame.gupy.io,1,1,verified,
Track&Field,https://tfcarreira.gupy.io,https://tfcarreira.gupy.io,1,1,verified,
Hidrovias do Brasil,https://hidrovias.gupy.io,https://hidrovias.gupy.io,1,1,verified,
Wiz Co,https://wiz.gupy.io,https://wiz.gupy.io,1,1,verified,
Vindi,https://vindi.gupy.io,https://vindi.gupy.io,1,1,verified,
Condor Super Center,https://condor.gupy.io,https://condor.gupy.io,1,1,verified,
Coca-Cola Femsa,https://femsa.gupy.io,https://femsa.gupy.io,1,1,verified,
Rede D Or,https://rededor.gupy.io,https://rededor.gupy.io,1,1,verified,
Telefônica Brasil (Vivo),https://vivo.gupy.io,https://vivo.gupy.io,1,1,verified,
Banco Industrial do Brasil,https://bib.gupy.io,https://bib.gupy.io,1,1,verified,
Arteris,https://arteris.gupy.io,https://arteris.gupy.io,1,1,verified,
Banco Digio,https://digio.gupy.io,https://digio.gupy.io,1,1,verified,
77sol,https://77sol.gupy.io,https://77sol.gupy.io,1,1,verified,
LinkedIn Brasil,https://linkedin.gupy.io,https://linkedin.gupy.io,1,1,verified,
RBS,https://gruporbs.gupy.io,https://gruporbs.gupy.io,1,1,verified,
Algar Tech Br,https://algar.gupy.io,https://algar.gupy.io,1,1,verified,
Franq,https://franq.gupy.io,https://franq.gupy.io,1,1,verified,
SPDM Hospital São Paulo,https://spdm.gupy.io,https://spdm.gupy.io,1,1,verified,
Banco Topázio,https://bancotopazio.gupy.io,https://bancotopazio.gupy.io,1,1,verified,
Grupo L'Occitane,https://sejaloccitane.gupy.io,https://sejaloccitane.gupy.io,1,1,verified,
Grupo Marilan,https://marilan.gupy.io,https://marilan.gupy.io,1,1,verified,
CCR,https://motiva.gupy.io,https://motiva.gupy.io,1,1,verified,
Mutant,https://mutantbrvagas.gupy.io,https://mutantbrvagas.gupy.io,1,1,verified,
Alloha Fibra,https://allohafibra.gupy.io,https://allohafibra.gupy.io,1,1,verified,
Sicredi,https://sicredi.gupy.io,https://sicredi.gupy.io,1,1,verified,
Mobit Tecnologia,https://mobit.gupy.io,https://mobit.gupy.io,1,1,verified,
Tegma,https://tegma.gupy.io,https://tegma.gupy.io,1,1,verified,
JHSF,https://jhsf.gupy.io,https://jhsf.gupy.io,1,1,verified,
Unimed Maceió Oficial,https://unimedmaceio.gupy.io,https://unimedmaceio.gupy.io,1,1,verified,
Bauducco,https://bauducco.gupy.io,https://bauducco.gupy.io,1,1,verified,
Qualidados Engenharia,https://qualidados.gupy.io,https://qualidados.gupy.io,1,1,verified,
CBA Alumínio,https://cba.gupy.io,https://cba.gupy.io,1,1,verified,
Abakids,https://abakids.gupy.io,https://abakids.gupy.io,1,1,verified,
Volkswagen do Brasil,https://vwbrasil.gupy.io,https://vwbrasil.gupy.io,1,1,verified,
Hospital IGESP,https://www.vagas.com.br/vagas-de-igesp,https://www.vagas.com.br/vagas-de-igesp,1,1,verified,
Energisa (Corp),https://grupoenergisa.gupy.io,https://grupoenergisa.gupy.io,1,1,verified,
3cservices,https://3cservices.gupy.io,https://3cservices.gupy.io,1,1,verified,
iPlace,https://iplace.gupy.io,https://iplace.gupy.io,1,1,verified,
ANBIMA,https://anbima.gupy.io,https://anbima.gupy.io,1,1,verified,
McDonalds (Corporativo),https://corporativomc.gupy.io,https://corporativomc.gupy.io,1,1,verified,
Creditas,https://creditas.gupy.io,https://creditas.gupy.io,1,1,verified,
Mercedes-Benz Caminhões & Ônibus (Externa),https://mercedes-benzcaminhoeseonibus.gupy.io,https://mercedes-benzcaminhoeseonibus.gupy.io,1,1,verified,
Cocamar,https://cocamar.gupy.io,https://cocamar.gupy.io,1,1,verified,
Pagaleve,https://pagaleve.gupy.io,https://pagaleve.gupy.io,1,1,verified,
Mondelez Brasil,https://mondelez.gupy.io,https://mondelez.gupy.io,1,1,verified,
Brisanet,https://brisanet.gupy.io,https://brisanet.gupy.io,1,1,verified,
Softplan,https://softplan.gupy.io,https://softplan.gupy.io,1,1,verified,
Cinemark,https://cinemark.gupy.io,https://cinemark.gupy.io,1,1,verified,
CIEE SC,https://cieesc.gupy.io,https://cieesc.gupy.io,1,1,verified,
Agrária,https://agraria.gupy.io,https://agraria.gupy.io,1,1,verified,
Casa Di Conti,https://casadiconti.gupy.io,https://casadiconti.gupy.io,1,1,verified,
Fortlev,https://fortlev.gupy.io,https://fortlev.gupy.io,1,1,verified,
Unimed Belém Oficial,https://unimedbelem.gupy.io,https://unimedbelem.gupy.io,1,1,verified,
Hospital Care,https://hospitalcare.gupy.io,https://hospitalcare.gupy.io,1,1,verified,
Marisol,https://marisol.gupy.io,https://marisol.gupy.io,1,1,verified,
Grupo Zaffari,https://grupozaffari.gupy.io,https://grupozaffari.gupy.io,1,1,verified,
Scania Latin America,https://scania.gupy.io,https://scania.gupy.io,1,1,verified,
Cocal,https://cocal.gupy.io,https://cocal.gupy.io,1,1,verified,
Assaí Atacadista,https://assai.gupy.io,https://assai.gupy.io,1,1,verified,
Votorantim Cimentos,https://votorantimcimentos.gupy.io,https://votorantimcimentos.gupy.io,1,1,verified,
Grupo Bertolini,https://bertolini.gupy.io,https://bertolini.gupy.io,1,1,verified,
Fast Shop,https://fastshop.gupy.io,https://fastshop.gupy.io,1,1,verified,
DASA Programas de Entrada,https://dasaprogramasdeentrada.gupy.io,https://dasaprogramasdeentrada.gupy.io,1,1,verified,
ArcelorMittal Tuper Brasil,https://tuper.gupy.io,https://tuper.gupy.io,1,1,verified,
Cosan,https://cosan.gupy.io,https://cosan.gupy.io,1,1,verified,
Shoulder,https://shoulder.gupy.io,https://shoulder.gupy.io,1,1,verified,
Sem Parar,https://semparar.gupy.io,https://semparar.gupy.io,1,1,verified,
Ecossistema ARGENTA,https://argenta.gupy.io,https://argenta.gupy.io,1,1,verified,
Cury,https://cury.gupy.io,https://cury.gupy.io,1,1,verified,
Credcrea (Ailos),https://credcrea.gupy.io,https://credcrea.gupy.io,1,1,verified,
Alpargatas,https://alpargatas.gupy.io,https://alpargatas.gupy.io,1,1,verified,
Vivo Digital,https://vivodigital.gupy.io,https://vivodigital.gupy.io,1,1,verified,
FSG Centro Universitário,https://fsg.gupy.io,https://fsg.gupy.io,1,1,verified,
CVC Corp,https://cvccorp.gupy.io,https://cvccorp.gupy.io,1,1,verified,
Itaú,https://vemproitau.gupy.io,https://vemproitau.gupy.io,1,1,verified,
3corptechnology,https://3corptechnology.gupy.io,https://3corptechnology.gupy.io,1,1,verified,
Piracanjuba (Laticínios Bela Vista),https://piracanjuba.gupy.io,https://piracanjuba.gupy.io,1,1,verified,
Positivo Tecnologia,https://positivo.gupy.io,https://positivo.gupy.io,1,1,verified,
Fras-le,https://randoncorp.gupy.io,https://randoncorp.gupy.io,1,1,verified,
Elgin,https://sejaelgin.gupy.io,https://sejaelgin.gupy.io,1,1,verified,
DASA Tecnologia,https://dasatecnologia.gupy.io,https://dasatecnologia.gupy.io,1,1,verified,
Cencosud Brasil,https://cencosudbrasil.gupy.io,https://cencosudbrasil.gupy.io,1,1,verified,
LG Electronics do Brasil LTDA,https://lge.gupy.io,https://lge.gupy.io,1,1,verified,
KMM,https://kmm.gupy.io,https://kmm.gupy.io,0,0,verified,HTTP 404 (Não Encontrado)
Sanepar,https://site.sanepar.com.br/trabalhe-com-a-gente,https://site.sanepar.com.br/trabalhe-com-a-gente,1,1,verified,
Kovi,https://kovi.gupy.io,https://kovi.gupy.io,1,1,verified,
Spread,https://spread.gupy.io,https://spread.gupy.io,1,1,verified,
UOL Compass,https://compass.gupy.io,https://compass.gupy.io,1,1,verified,
Syn Prop & Tech,https://syn.gupy.io,https://syn.gupy.io,1,1,verified,
Caju,https://caju.gupy.io,https://caju.gupy.io,1,1,verified,
Beep Saúde,https://beepsaude.gupy.io,https://beepsaude.gupy.io,1,1,verified,
Vila Nova Log,https://vilanova.gupy.io,https://vilanova.gupy.io,1,1,verified,
Tenda,https://tenda.gupy.io,https://tenda.gupy.io,1,1,verified,
Dotz,https://dotz.gupy.io,https://dotz.gupy.io,1,1,verified,
Elo,https://vempraelo.gupy.io,https://vempraelo.gupy.io,1,1,verified,
Afya Educacional,https://afya.gupy.io,https://afya.gupy.io,1,1,verified,
Copersucar,https://copersucar.gupy.io,https://copersucar.gupy.io,1,1,verified,
Unimed Cuiabá Oficial,https://unimedcuiaba.gupy.io,https://unimedcuiaba.gupy.io,1,1,verified,
Korp ERP,https://korp.gupy.io,https://korp.gupy.io,1,1,verified,
Mills,https://mills.gupy.io,https://mills.gupy.io,1,1,verified,
Bemobi,https://bemobi.gupy.io,https://bemobi.gupy.io,1,1,verified,
Rumo Logística,https://rumolog.gupy.io,https://rumolog.gupy.io,1,1,verified,
Redepharma Brasil,https://redepharma.gupy.io,https://redepharma.gupy.io,1,1,verified,
Bunge,https://bunge.gupy.io,https://bunge.gupy.io,1,1,verified,
Embraer,https://embraer.gupy.io,https://embraer.gupy.io,1,1,verified,
Grupo Boticário,https://grupoboticario.gupy.io,https://grupoboticario.gupy.io,1,1,verified,
