Nome da Empresa,URL,Plataforma,Status da URL,Data de Entrada,Segmento da Empresa
3R Petroleum,https://3rpetroleum.gupy.io,Gupy,1,2026-02-19,Estratégico
99 (99Entrega),https://trabalheconosco.vagas.com.br/99,Vagas,1,2026-02-19,Estratégico
AES Brasil,https://trabalheconosco.vagas.com.br/aesbrasil,Vagas,1,2026-02-19,Estratégico
Aché Laboratórios,https://trabalheconosco.vagas.com.br/achlaboratrios,Vagas,1,2026-02-19,Estratégico
Agrale,https://trabalheconosco.vagas.com.br/agrale,Vagas,1,2026-02-19,Estratégico
AgroGalaxy,https://agrogalaxy.gupy.io,Gupy,1,2026-02-19,Estratégico
Aiqfome,https://trabalheconosco.vagas.com.br/aiqfome,Vagas,1,2026-02-19,Estratégico
Algar Telecom,https://trabalheconosco.vagas.com.br/algartelecom,Vagas,1,2026-02-19,Estratégico
Alliar,https://trabalheconosco.vagas.com.br/alliar,Vagas,1,2026-02-19,Estratégico
Allied,https://trabalheconosco.vagas.com.br/allied,Vagas,1,2026-02-19,Estratégico
Alupar,https://alupar.gupy.io,Gupy,1,2026-02-19,Estratégico
Ambipar,https://ambipar.gupy.io,Gupy,1,2026-02-19,Estratégico
Ame Digital,https://trabalheconosco.vagas.com.br/amedigital,Vagas,1,2026-02-19,Estratégico
Apptite,https://trabalheconosco.vagas.com.br/apptite,Vagas,1,2026-02-19,Estratégico
Armac,https://armac.gupy.io,Gupy,1,2026-02-19,Estratégico
Azul Linhas Aéreas,https://trabalheconosco.vagas.com.br/azullinhasareas,Vagas,1,2026-02-19,Estratégico
B3,https://trabalheconosco.vagas.com.br/b3,Vagas,1,2026-02-19,Estratégico
BB Seguridade,https://trabalheconosco.vagas.com.br/bbseguridade,Vagas,1,2026-02-19,Estratégico
BRB (Banco de Brasília),https://trabalheconosco.vagas.com.br/brb,Vagas,1,2026-02-19,Estratégico
Bacio di Latte,https://trabalheconosco.vagas.com.br/baciodilatte,Vagas,1,2026-02-19,Estratégico
Bahema Educação,https://trabalheconosco.vagas.com.br/bahemaeducao,Vagas,1,2026-02-19,Estratégico
Banco ABC Brasil,https://trabalheconosco.vagas.com.br/bancoabcbrasil,Vagas,1,2026-02-19,Estratégico
Banco Alfa,https://trabalheconosco.vagas.com.br/bancoalfa,Vagas,1,2026-02-19,Estratégico
Banco BMG,https://bancobmg.gupy.io,Gupy,1,2026-02-19,Estratégico
Banco Digio,https://trabalheconosco.vagas.com.br/bancodigio,Vagas,1,2026-02-19,Estratégico
Banco Guanabara,https://trabalheconosco.vagas.com.br/bancoguanabara,Vagas,1,2026-02-19,Estratégico
Banco Inbursa,https://trabalheconosco.vagas.com.br/bancoinbursa,Vagas,1,2026-02-19,Estratégico
Banco Industrial do Brasil,https://trabalheconosco.vagas.com.br/bancoindustrialdobrasil,Vagas,1,2026-02-19,Estratégico
Banco Master,https://trabalheconosco.vagas.com.br/bancomaster,Vagas,1,2026-02-19,Estratégico
Banco Mercantil do Brasil,https://trabalheconosco.vagas.com.br/bancomercantildobrasil,Vagas,1,2026-02-19,Estratégico
Banco Modal,https://trabalheconosco.vagas.com.br/bancomodal,Vagas,1,2026-02-19,Estratégico
Banco Original,https://trabalheconosco.vagas.com.br/bancooriginal,Vagas,1,2026-02-19,Estratégico
Banco Paulista,https://trabalheconosco.vagas.com.br/bancopaulista,Vagas,1,2026-02-19,Estratégico
Banco Rendimento,https://trabalheconosco.vagas.com.br/bancorendimento,Vagas,1,2026-02-19,Estratégico
Banco Safra,https://trabalheconosco.vagas.com.br/bancosafra,Vagas,1,2026-02-19,Estratégico
Banco Semear,https://trabalheconosco.vagas.com.br/bancosemear,Vagas,1,2026-02-19,Estratégico
Banco Topázio,https://trabalheconosco.vagas.com.br/bancotopzio,Vagas,1,2026-02-19,Estratégico
Banco Votorantim (banco BV),https://trabalheconosco.vagas.com.br/bancovotorantim,Vagas,1,2026-02-19,Estratégico
Banco da Amazônia,https://trabalheconosco.vagas.com.br/bancodaamaznia,Vagas,1,2026-02-19,Estratégico
Banco de Brasília (BRB),https://trabalheconosco.vagas.com.br/bancodebraslia,Vagas,1,2026-02-19,Estratégico
Banco do Brasil,https://trabalheconosco.vagas.com.br/bancodobrasil,Vagas,1,2026-02-19,Estratégico
Banco do Nordeste,https://trabalheconosco.vagas.com.br/bancodonordeste,Vagas,1,2026-02-19,Estratégico
Banestes,https://trabalheconosco.vagas.com.br/banestes,Vagas,1,2026-02-19,Estratégico
Banrisul,https://trabalheconosco.vagas.com.br/banrisul,Vagas,1,2026-02-19,Estratégico
Beleaf,https://trabalheconosco.vagas.com.br/beleaf,Vagas,1,2026-02-19,Estratégico
Biolab,https://trabalheconosco.vagas.com.br/biolab,Vagas,1,2026-02-19,Estratégico
BizCapital,https://trabalheconosco.vagas.com.br/bizcapital,Vagas,1,2026-02-19,Estratégico
Blau Farmacêutica,https://trabalheconosco.vagas.com.br/blaufarmacutica,Vagas,1,2026-02-19,Estratégico
Bold Snacks,https://trabalheconosco.vagas.com.br/boldsnacks,Vagas,1,2026-02-19,Estratégico
Bom pra Crédito,https://trabalheconosco.vagas.com.br/bompracrdito,Vagas,1,2026-02-19,Estratégico
Box Delivery,https://trabalheconosco.vagas.com.br/boxdelivery,Vagas,1,2026-02-19,Estratégico
BrasilAgro,https://brasilagro.gupy.io,Gupy,1,2026-02-19,Estratégico
Brinks Brasil,https://trabalheconosco.vagas.com.br/brinksbrasil,Vagas,1,2026-02-19,Estratégico
Brisanet,https://brisanet.gupy.io,Gupy,1,2026-02-19,Estratégico
C&A Brasil,https://trabalheconosco.vagas.com.br/cabrasil,Vagas,1,2026-02-19,Estratégico
CPFL Energia,https://trabalheconosco.vagas.com.br/cpflenergia,Vagas,1,2026-02-19,Estratégico
CSN (Companhia Siderúrgica Nacional),https://csn.gupy.io,Gupy,1,2026-02-19,Estratégico
Caesb,https://trabalheconosco.vagas.com.br/caesb,Vagas,1,2026-02-19,Estratégico
Caffeine Army,https://trabalheconosco.vagas.com.br/caffeinearmy,Vagas,1,2026-02-19,Estratégico
Cagece,https://trabalheconosco.vagas.com.br/cagece,Vagas,1,2026-02-19,Estratégico
