Platform,URL,Status,Issue,Content-Type
Gupy,https://kmm.gupy.io,404,HTTP 404,
Gupy,https://multilog.gupy.io,404,HTTP 404,
Gupy,https://agrogalaxy.gupy.io,404,HTTP 404,
Gupy,https://livelo.gupy.io,404,HTTP 404,
Gupy,https://enjoei.gupy.io,404,HTTP 404,
Gupy,https://getnet.gupy.io,404,HTTP 404,
Gupy,https://ambipar.gupy.io,404,HTTP 404,
Gupy,https://havan.gupy.io,404,HTTP 404,
Gupy,https://pottencial.gupy.io,404,HTTP 404,
Vagas,https://open-co.gupy.io,404,HTTP 404,
Vagas,https://log.gupy.io,404,HTTP 404,
Gupy,https://aevo.gupy.io,404,HTTP 404,
Vagas,https://99app.com/carreiras,404,HTTP 404,
Vagas,https://ache.gupy.io,404,HTTP 404,
Vagas,https://aes.wd1.myworkdayjobs.com/Careers,404,HTTP 404,
Vagas,https://aiqfome.gupy.io,404,HTTP 404,
Vagas,https://alliar.gupy.io,404,HTTP 404,
Vagas,https://allied.pandape.infojobs.com.br,200,"Type Mismatch (Expected JSON, got HTML)",text/html; charset=utf-8
Vagas,https://apptite.gupy.io,404,HTTP 404,
Manual,https://www.autodesk.com/careers,404,HTTP 404,
Greenhouse,https://job-boards.eu.greenhouse.io/aztec,404,HTTP 404,
Vagas,https://azul.gupy.io,404,HTTP 404,
Vagas,https://b3.gupy.io,404,HTTP 404,
Vagas,https://bahemaeducacao.com.br/trabalhe-conosco,404,HTTP 404,
Vagas,https://bancoabc.gupy.io,404,HTTP 404,
Vagas,https://www.bnb.gov.br/concursos-e-selecoes,404,HTTP 404,
Vagas,https://www.inbursa.com/BolsadeTrabajo,404,HTTP 404,
Vagas,https://bancomercantil.gupy.io,404,HTTP 404,
Vagas,https://bancopaulista.solides.jobs,404,HTTP 404,
Vagas,https://rendimento.gupy.io,404,HTTP 404,
Vagas,https://safra.gupy.io,404,HTTP 404,
Vagas,https://www.bancosemear.com.br/trabalhe-conosco,404,HTTP 404,
Vagas,https://bv.gupy.io,404,HTTP 404,
Recrut.ai,https://band.jobs.recrut.ai/#openings,200,"Type Mismatch (Expected JSON, got HTML)",text/html; charset=utf-8
Vagas,https://www.banestes.com.br/trabalhe-conosco,404,HTTP 404,
Vagas,https://biolabfarma.gupy.io,404,HTTP 404,
Vagas,https://bizcapital.gupy.io,404,HTTP 404,
Vagas,https://blau.com.br/carreiras,404,HTTP 404,
Workday,https://activision.wd1.myworkdayjobs.com/Blizzard_External_Careers,404,HTTP 404,
Eightfold,https://bnymellon.eightfold.ai/careers,404,HTTP 404,
Vagas,https://bold.net/trabalhe-conosco,404,HTTP 404,
Vagas,https://bompracredito.gupy.io,404,HTTP 404,
Vagas,https://boxdelivery.gupy.io,404,HTTP 404,
OracleCloud,https://epiw.fa.la1.oraclecloud.com/hcmUI/CandidateExperience/pt-BR/sites/CX_1001/requisitions,200,"Type Mismatch (Expected JSON, got HTML)",text/html; charset=utf-8
PandaPe,https://braspress.pandape.infojobs.com.br,200,"Type Mismatch (Expected JSON, got HTML)",text/html; charset=utf-8
Vagas,https://brf.com/talentos,404,HTTP 404,
Vagas,https://brinks.gupy.io,404,HTTP 404,
Vagas,https://ceabrasil.gupy.io,404,HTTP 404,
Vagas,https://www.caesb.df.gov.br/concursos.html,404,HTTP 404,
Vagas,https://www.cagece.com.br/institucional/concursos-e-selecoes,404,HTTP 404,
Vagas,https://www.caixa.gov.br/sobre-a-caixa/trabalhe-na-caixa/concursos,404,HTTP 404,
Vagas,https://caixaseguridade.gupy.io,404,HTTP 404,
Vagas,https://camargocorrea.gupy.io,404,HTTP 404,
Vagas,https://camilalimentos.com.br/carreiras,404,HTTP 404,
Sênior,https://platform.senior.com.br/hcmrs/hcm/curriculo/?tenant=camilcombr&tenantdomain=camil.com.br#!/vacancies/list,200,"Type Mismatch (Expected JSON, got HTML)",text/html; charset=utf-8
Site da Empresa,https://www.canva.com/careers,404,HTTP 404,
Vagas,https://www.capgemini.com/br-pt/carreiras,404,HTTP 404,
Vagas,https://carrefour.gupy.io,404,HTTP 404,
Vagas,https://www.naturgy.com.br/trabalhe-conosco,404,HTTP 404,
Vagas,https://www.celesc.com.br/trabalhe-na-celesc,404,HTTP 404,
Vagas,https://cheftime.gupy.io,404,HTTP 404,
Workday,https://www.cloudera.com/careers.html,200,"Type Mismatch (Expected JSON, got HTML)",text/html; charset=utf-8
InfoJobs,https://cobasi.pandape.infojobs.com.br,200,"Type Mismatch (Expected JSON, got HTML)",text/html; charset=utf-8
Vagas,https://czaffari.gupy.io,404,HTTP 404,
InfoJobs,https://cooperativadeconsumo.pandape.infojobs.com.br,200,"Type Mismatch (Expected JSON, got HTML)",text/html; charset=utf-8
Vagas,https://www.copel.com/site/trabalhe-na-copel,404,HTTP 404,
Vagas,https://cpflenergia.gupy.io,404,HTTP 404,
Workday,https://www.crowdstrike.com/careers,200,"Type Mismatch (Expected JSON, got HTML)",text/html; charset=utf-8
Vagas,https://daki.gupy.io,404,HTTP 404,
iCIMS,https://ptapply-danone.icims.com/jobs/search,404,HTTP 404,
