Status da URL,Status da Requisição (Plataforma),Data de Entrada,Data do Status,Nome da Empresa,Segmento da Empresa,Plataforma,URL
1,0,2023-02-26,2025-02-24,3M,Indústria,Workday,https://3m.wd1.myworkdayjobs.com/Search
1,0,2025-01-19,2025-02-24,AB InBev,Alimentos e Bebidas,Greenhouse,https://job-boards.greenhouse.io/abinbev
1,0,2023-02-26,2025-02-24,Accenture,Consultoria,Workday,https://accenture.wd103.myworkdayjobs.com/AccentureCareers
1,0,2025-01-19,2025-02-24,Acer,Eletrônicos,SAP SuccessFactors,https://career10.successfactors.com/career?company=acerincorp
1,0,2025-01-19,2025-02-24,Aché,Farmacêutica,Gupy,https://vagasache.gupy.io
1,0,2025-01-23,2025-02-24,Activision,Entretenimento,Plataforma Interna,https://careers.activision.com/search-results
1,0,2025-01-19,2025-02-24,Adobe,Tecnologia,Workday,https://adobe.wd5.myworkdayjobs.com/external_experienced
1,0,2023-02-26,2025-02-24,Agibank (Comercial),Banco,Gupy,https://agibank.gupy.io
1,0,2025-01-13,2025-02-24,Agibank (Corporativo),Banco,Gupy,https://corporativo-agibank.gupy.io
1,0,2025-01-13,2025-02-24,Agibank (Tecnologia),Banco,Gupy,https://tecnologia-agibank.gupy.io
1,0,2025-01-23,2025-02-24,Agoda,Tecnologia,Plataforma Interna,https://careersatagoda.com/vacancies/?search&teams&locations
1,0,2025-01-19,2025-02-24,Airbnb,Turismo,Greenhouse,https://boards.greenhouse.io/airbnb
1,0,2023-02-26,2025-02-24,Alelo,Benefícios,Bizneo,https://vagas.alelo.com.br/jobs
1,0,2025-01-19,2025-02-24,Alice,Healthtech,InHire,https://alice.inhire.app/vagas
1,0,2023-02-26,2025-02-24,Alura,Educação,Gupy,https://grupoalura.gupy.io
1,0,2025-01-23,2025-02-24,Amazon,Comércio Eletrônico,Plataforma Interna,https://www.amazon.jobs/en/search
1,0,2023-02-26,2025-02-24,Ambev,Alimentos e Bebidas,Gupy,https://ambev.gupy.io
1,0,2023-02-26,2025-02-24,Ambev Tech,Tecnologia,Gupy,https://ambevtech.gupy.io
1,0,2025-01-19,2025-02-24,American Express,Financeiro,Eightfold,https://aexp.eightfold.ai/careers
1,0,2025-01-18,2025-02-24,Americanas S.A.,Varejo,Gupy,https://americanas.gupy.io
1,0,2025-01-20,2025-02-24,Amil,Saúde,SAP SuccessFactors,https://career19.sapsf.com/careers?company=amilassist
1,0,2022-03-27,2025-02-24,ANBIMA,Entidade Financeira,Gupy,https://anbima.gupy.io
1,0,2025-01-23,2025-02-24,Apple,Tecnologia,Plataforma Interna,https://jobs.apple.com/pt-br/search
1,0,2025-01-19,2025-02-24,AstraZeneca,Farmacêutica,Workday,https://astrazeneca.wd3.myworkdayjobs.com/Careers
1,0,2025-01-23,2025-02-24,Atlassian,Tecnologia,iCIMS,https://careers-americas.icims.com/jobs
1,0,2025-01-20,2025-02-24,Avanade,Tecnologia,Plataforma Interna,https://www.avanade.com/pt-br/career/search-jobs
1,0,2025-01-23,2025-02-24,Ball,Embalagens,Plataforma Interna,https://jobs.ball.com/corp_packaging/search
1,0,2023-02-26,2025-02-24,Banco ABC,Banco,Gupy,https://abcbrasil.gupy.io
1,0,2023-09-18,2025-02-24,Banco Alfa,Banco,Gupy,https://alfa.gupy.io
1,0,2025-01-23,2025-02-24,Banco Bradesco,Banco,CSOD,https://bradesco.csod.com/ux/ats/careersite/1/home?c=bradesco
1,0,2023-02-26,2025-02-24,Banco BV,Banco,Lever,https://jobs.lever.co/bv
1,0,2023-02-26,2025-02-24,Banco Daycoval,Banco,Gupy,https://bancodaycoval.gupy.io
1,0,2023-02-26,2025-02-24,Banco Fibra,Banco,Gupy,https://bancofibra.gupy.io
1,0,2023-02-26,2025-02-24,Banco Master,Banco,Gupy,https://bancomaster.gupy.io
1,0,2023-07-22,2025-02-24,Banco Mercantil,Banco,Gupy,https://mercantil.gupy.io
1,0,2023-05-04,2025-02-24,Banco Ourinvest,Banco,Gupy,https://bancoourinvest.gupy.io
1,0,2023-02-26,2025-02-24,Banco Pan,Banco,Greenhouse,https://boards.greenhouse.io/bancopan
1,0,2023-02-26,2025-02-24,Banco Rodobens,Banco,Gupy,https://rodobenscarreiras.gupy.io
1,0,2023-02-26,2025-02-24,Banco Sofisa,Banco,Gupy,https://bancosofisa.gupy.io
1,0,2023-02-26,2025-02-24,banQi,Soluções de Pagamento,Gupy,https://banqi.gupy.io
1,0,2025-01-23,2025-02-24,BASF,Química,SuccessFactors,https://career5.successfactors.eu/career?company=C0000159936P
1,0,2024-12-15,2025-02-24,Bauducco,Alimentos e Bebidas,Gupy,https://bauducco.gupy.io
1,0,2024-11-22,2025-02-24,Bayer,Saúde,Eightfold,https://bayer.eightfold.ai/careers
1,0,2025-01-19,2025-02-24,Blizzard,Entretenimento,Workday,https://activision.wd1.myworkdayjobs.com/Blizzard_External_Careers
1,0,2023-02-26,2025-02-24,BMG,Banco,Gupy,https://bmg.gupy.io
1,0,2023-02-26,2025-02-24,BMW Group Brasil,Automotivo,Gupy,https://bmw.gupy.io
1,0,2025-01-19,2025-02-24,BNY Mellon,Financeiro,Eightfold,https://bnymellon.eightfold.ai/careers
1,0,2025-01-23,2025-02-24,Booking,Turismo,Plataforma Interna,https://jobs.booking.com/booking/jobs
1,0,2025-01-19,2025-02-24,Bosch Group,Indústria,SmartRecruiters,https://careers.smartrecruiters.com/BoschGroup
1,0,2025-01-23,2025-02-24,Bradesco Seguros,Seguros,CSOD,https://bradesco.csod.com/ux/ats/careersite/3/home?c=bradesco
1,0,2023-02-26,2025-02-24,Brasilprev,Seguradora,Gupy,https://brasilprev.gupy.io
1,0,2025-01-19,2025-02-24,Braskem,Indústria,OracleCloud,https://epiw.fa.la1.oraclecloud.com/hcmUI/CandidateExperience/pt-BR/sites/CX_1001/requisitions
1,0,2023-01-19,2025-02-24,BTG Pactual,Banco,Greenhouse,https://boards.greenhouse.io/btgpactual
1,0,2025-01-23,2025-02-24,Burger King,Alimentação,Plataforma Interna,https://www.burgerking.com.br/carreiras
1,0,2023-02-26,2025-02-24,C&A,Varejo,Gupy,https://cea.gupy.io
1,0,2023-02-26,2025-02-24,C6 Bank,Banco,Greenhouse,https://boards.greenhouse.io/c6bank
1,0,2025-01-19,2025-02-24,Cabify,Transporte,Greenhouse,https://job-boards.greenhouse.io/cabify
1,0,2023-02-26,2025-02-24,Cacau Show,Alimentos e Bebidas,Gupy,https://cacaushow.gupy.io
1,0,2025-01-19,2025-02-24,Caju,Benefícios,Gupy,https://caju.gupy.io
1,0,2025-01-23,2025-02-24,Camil Alimentos,Alimentos e Bebidas,Sênior,https://platform.senior.com.br/hcmrs/hcm/curriculo/?tenant=camilcombr&tenantdomain=camil.com.br#!/vacancies/list
1,0,2025-01-23,2025-02-24,Caoa,Automotivo,Gupy,https://caoa.gupy.io
1,0,2025-01-20,2025-02-24,Capco,Consultoria,Greenhouse,https://boards.greenhouse.io/capco
1,0,2023-02-26,2025-02-24,Centauro,Varejo,Gupy,https://centaurotalentos.gupy.io
1,0,2024-11-22,2025-02-24,CI&T,Tecnologia,Lever,https://jobs.lever.co/ciandt
1,0,2023-02-26,2025-02-24,Cielo,Soluções de Pagamento,Gupy,https://cielo.gupy.io
1,0,2025-01-23,2025-02-24,Cinemark,Entretenimento,Gupy,https://cinemark.gupy.io
1,0,2025-01-23,2025-02-24,Cisco,Tecnologia,Plataforma Interna,https://jobs.cisco.com/jobs/SearchJobs
1,0,2025-01-23,2025-02-24,Citi,Financeiro,Workday,https://citi.wd5.myworkdayjobs.com/2
1,0,2023-02-26,2025-02-24,ClearSale,Consultoria,Gupy,https://clearsale.gupy.io
1,0,2025-01-23,2025-02-24,Cobasi,Varejo,InfoJobs,https://cobasi.pandape.infojobs.com.br
1,0,2022-03-27,2025-02-24,Coca-Cola Company,Alimentos e Bebidas,Workday,https://coke.wd1.myworkdayjobs.com/coca-cola-careers
1,0,2022-03-27,2025-02-24,Coca-Cola Femsa BR,Alimentos e Bebidas,Gupy,https://cocacolafemsabr.gupy.io
1,0,2022-03-27,2025-02-24,Colgate-Palmolive,Produtos de Consumo,Plataforma Interna,https://jobs.colgate.com/search
1,0,2025-01-23,2025-02-24,Contabilizei,Fintech,Gupy,https://contabilizei.gupy.io
1,0,2025-01-23,2025-02-24,Coop,Supermercado,Recrut.ai,https://coop.jobs.recrut.ai/#openings
1,0,2025-01-20,2025-02-24,Cortex,Tecnologia,Gupy,https://cortex.gupy.io
1,0,2025-01-19,2025-02-24,Creditas,Financeiro,Greenhouse,https://job-boards.greenhouse.io/creditas
1,0,2023-02-26,2025-02-24,Creditas (Internacional),Financeiro,Greenhouse,https://boards.greenhouse.io/creditasen
1,0,2023-02-26,2025-02-24,Creditas (Nacional),Financeiro,Greenhouse,https://boards.greenhouse.io/creditas
1,0,2023-02-26,2025-02-24,CVC Corp,Viagens,Gupy,https://cvccorp.gupy.io
1,0,2023-02-26,2025-02-24,CVP (Caixa Vida e Previdência),Seguradora,Gupy,https://caixavidaeprevidencia.gupy.io
1,0,2025-01-23,2025-02-24,Danone,Alimentos e Bebidas,iCIMS,https://ptapply-danone.icims.com/jobs/search
1,0,2025-01-19,2025-02-24,DASA Assistencial,Saúde,Gupy,https://dasaassistencial.gupy.io
1,0,2025-01-19,2025-02-24,DASA Atendimento,Saúde,Gupy,https://dasaatendimento.gupy.io
1,0,2025-01-19,2025-02-24,DASA Corp,Saúde,Gupy,https://dasacorp.gupy.io
1,0,2025-01-19,2025-02-24,DASA Diversidade,Saúde,Gupy,https://diversidasa.gupy.io
1,0,2025-01-19,2025-02-24,DASA Programas de Entrada,Saúde,Gupy,https://dasaprogramasdeentrada.gupy.io
1,0,2025-01-19,2025-02-24,DASA Tecnologia,Saúde,Gupy,https://dasatecnologia.gupy.io
1,0,2025-01-19,2025-02-24,Databricks,Tecnologia,Greenhouse,https://job-boards.greenhouse.io/databricks
1,0,2025-01-26,2025-02-24,DataDog,Tecnologia,Plataforma Interna,https://careers.datadoghq.com/all-jobs
1,0,2024-12-26,2025-02-24,Daycoval DayCambio,Banco,Gupy,https://daycambio.gupy.io
1,0,2024-12-26,2025-02-24,Daycoval DayCred,Banco,Gupy,https://daycred.gupy.io
1,0,2025-01-19,2025-02-24,Decathlon,Esportes,Gupy,https://carreirasdecathlon.gupy.io
1,0,2025-01-20,2025-02-24,Deloitte,Consultoria,Plataforma Interna,https://app.jobconvo.com/pt-br/careers/Deloitte/ddf2b2f5-cc30-4503-8ec8-458f9869e2ba/#join
1,0,2023-02-26,2025-02-24,DiDi (99),Tecnologia,Plataforma Interna,https://careers-didiglobal.icims.com/jobs/search?ss=1&hashed=-625919479
1,0,2023-02-26,2025-02-24,Digio,Banco,Gupy,https://digio.gupy.io
1,0,2025-01-23,2025-02-24,Domino's Pizza,Alimentação,InfoJobs,https://dominospizzabrasil.pandape.infojobs.com.br
1,0,2023-02-26,2025-02-24,Dotz,Benefícios,Gupy,https://dotz.gupy.io
1,0,2025-01-23,2025-02-24,Dropbox,Tecnologia,Plataforma Interna,https://jobs.dropbox.com/all-jobs
1,0,2024-09-01,2025-02-24,DRUID Creative Gaming,Games,Gupy,https://druid.gupy.io
1,0,2025-01-23,2025-02-24,DuckDuckGo,Tecnologia,Plataforma Interna,https://jobs.ashbyhq.com/duck-duck-go
1,0,2025-01-20,2025-02-24,Duolingo,Educacional,Greenhouse,https://boards.greenhouse.io/duolingo
1,0,2025-01-19,2025-02-24,Eaton,Indústria,Eightfold,https://eaton.eightfold.ai/careers
1,0,2023-02-26,2025-02-24,Ebanx,Soluções de Pagamento,Greenhouse,https://boards.greenhouse.io/ebanx
1,0,2025-01-20,2025-02-24,Efí Bank,Financeiro,Gupy,https://sejaefi.gupy.io
1,0,2025-01-20,2025-02-24,Eightfold,Tecnologia,Eightfold,https://pepsico.eightfold.ai/careers
1,0,2025-01-23,2025-02-24,Electrolux,Eletrônicos,Workday,https://career.electroluxgroup.com/global/en/search-results
1,0,2025-01-23,2025-02-24,Electronic Arts,Entretenimento,Plataforma Interna,https://jobs.ea.com/en_US/careers
