Nome da Empresa,URL,Platform_issue,Status_issue,Issue,Status_lista,acao
99 (99Entrega),https://99app.com/carreiras,Vagas,404,HTTP 404,0,corrigir
AES Brasil,https://aes.wd1.myworkdayjobs.com/Careers,Vagas,404,HTTP 404,0,corrigir
Aché Laboratórios,https://ache.gupy.io,Vagas,404,HTTP 404,0,corrigir
Aevo,https://aevo.gupy.io,Gupy,404,HTTP 404,0,corrigir
AgroGalaxy,https://agrogalaxy.gupy.io,Gupy,404,HTTP 404,0,corrigir
Aiqfome,https://aiqfome.gupy.io,Vagas,404,HTTP 404,0,corrigir
Alliar,https://alliar.gupy.io,Vagas,404,HTTP 404,0,corrigir
Ambipar,https://ambipar.gupy.io,Gupy,404,HTTP 404,0,corrigir
Apptite,https://apptite.gupy.io,Vagas,404,HTTP 404,0,corrigir
Autodesk,https://www.autodesk.com/careers,Manual,404,HTTP 404,0,corrigir
Aztec,https://job-boards.eu.greenhouse.io/aztec,Greenhouse,404,HTTP 404,0,corrigir
Azul Linhas Aéreas,https://azul.gupy.io,Vagas,404,HTTP 404,0,corrigir
B3,https://b3.gupy.io,Vagas,404,HTTP 404,0,corrigir
BNY Mellon,https://bnymellon.eightfold.ai/careers,Eightfold,404,HTTP 404,0,corrigir
BRF,https://brf.com/talentos,Vagas,404,HTTP 404,0,corrigir
Bahema Educação,https://bahemaeducacao.com.br/trabalhe-conosco,Vagas,404,HTTP 404,0,corrigir
Banco ABC Brasil,https://bancoabc.gupy.io,Vagas,404,HTTP 404,0,corrigir
Banco Inbursa,https://www.inbursa.com/BolsadeTrabajo,Vagas,404,HTTP 404,0,corrigir
Banco Mercantil do Brasil,https://bancomercantil.gupy.io,Vagas,404,HTTP 404,0,corrigir
Banco Paulista,https://bancopaulista.solides.jobs,Vagas,404,HTTP 404,0,corrigir
Banco Rendimento,https://rendimento.gupy.io,Vagas,404,HTTP 404,0,corrigir
Banco Safra,https://safra.gupy.io,Vagas,404,HTTP 404,0,corrigir
Banco Semear,https://www.bancosemear.com.br/trabalhe-conosco,Vagas,404,HTTP 404,0,corrigir
Banco Votorantim (banco BV),https://bv.gupy.io,Vagas,404,HTTP 404,0,corrigir
Banco do Nordeste,https://www.bnb.gov.br/concursos-e-selecoes,Vagas,404,HTTP 404,0,corrigir
Banestes,https://www.banestes.com.br/trabalhe-conosco,Vagas,404,HTTP 404,0,corrigir
Biolab,https://biolabfarma.gupy.io,Vagas,404,HTTP 404,0,corrigir
BizCapital,https://bizcapital.gupy.io,Vagas,404,HTTP 404,0,corrigir
Blau Farmacêutica,https://blau.com.br/carreiras,Vagas,404,HTTP 404,0,corrigir
Blizzard,https://activision.wd1.myworkdayjobs.com/Blizzard_External_Careers,Workday,404,HTTP 404,0,corrigir
Bold Snacks,https://bold.net/trabalhe-conosco,Vagas,404,HTTP 404,0,corrigir
Bom pra Crédito,https://bompracredito.gupy.io,Vagas,404,HTTP 404,0,corrigir
Box Delivery,https://boxdelivery.gupy.io,Vagas,404,HTTP 404,0,corrigir
Brinks Brasil,https://brinks.gupy.io,Vagas,404,HTTP 404,0,corrigir
C&A Brasil,https://ceabrasil.gupy.io,Vagas,404,HTTP 404,0,corrigir
CPFL Energia,https://cpflenergia.gupy.io,Vagas,404,HTTP 404,0,corrigir
Caesb,https://www.caesb.df.gov.br/concursos.html,Vagas,404,HTTP 404,0,corrigir
Cagece,https://www.cagece.com.br/institucional/concursos-e-selecoes,Vagas,404,HTTP 404,0,corrigir
Caixa Econômica Federal,https://www.caixa.gov.br/sobre-a-caixa/trabalhe-na-caixa/concursos,Vagas,404,HTTP 404,0,corrigir
Caixa Seguridade,https://caixaseguridade.gupy.io,Vagas,404,HTTP 404,0,corrigir
Camargo Corrêa,https://camargocorrea.gupy.io,Vagas,404,HTTP 404,0,corrigir
Camil,https://camilalimentos.com.br/carreiras,Vagas,404,HTTP 404,0,corrigir
Canva,https://www.canva.com/careers,Site da Empresa,404,HTTP 404,0,corrigir
Capgemini,https://www.capgemini.com/br-pt/carreiras,Vagas,404,HTTP 404,0,corrigir
Carrefour Brasil,https://carrefour.gupy.io,Vagas,404,HTTP 404,0,corrigir
Ceg (Naturgy),https://www.naturgy.com.br/trabalhe-conosco,Vagas,404,HTTP 404,0,corrigir
Celesc,https://www.celesc.com.br/trabalhe-na-celesc,Vagas,404,HTTP 404,0,corrigir
Cheftime,https://cheftime.gupy.io,Vagas,404,HTTP 404,0,corrigir
Comercial Zaffari,https://czaffari.gupy.io,Vagas,404,HTTP 404,0,corrigir
Copel,https://www.copel.com/site/trabalhe-na-copel,Vagas,404,HTTP 404,0,corrigir
Daki,https://daki.gupy.io,Vagas,404,HTTP 404,0,corrigir
Danone,https://ptapply-danone.icims.com/jobs/search,iCIMS,404,HTTP 404,0,corrigir
Desktop,https://desktop.gupy.io,Vagas,404,HTTP 404,0,corrigir
DiDi (99),https://careers-didiglobal.icims.com/jobs/search?ss=1&hashed=-625919479,Plataforma Interna,404,HTTP 404,0,corrigir
